"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Албания;20.04.2020;584;327;26;22;13;0
Албания;21.02.2020;0;0;0;0;0;0
Албания;21.03.2020;76;2;2;6;2;0
Албания;21.04.2020;609;345;26;25;18;0
Албания;22.01.2020;0;0;0;0;0;0
Албания;22.02.2020;0;0;0;0;0;0
Албания;22.03.2020;89;2;2;13;0;0
Албания;22.04.2020;634;356;27;25;11;1
Албания;23.01.2020;0;0;0;0;0;0
Албания;23.02.2020;0;0;0;0;0;0
Албания;23.03.2020;104;2;4;15;0;2
Албания;23.04.2020;663;385;27;29;29;0
Албания;24.01.2020;0;0;0;0;0;0
Албания;24.02.2020;0;0;0;0;0;0
Албания;24.03.2020;123;10;5;19;8;1
Албания;24.04.2020;678;394;27;15;9;0
Албания;25.01.2020;0;0;0;0;0;0
Албания;25.02.2020;0;0;0;0;0;0
Албания;25.03.2020;146;17;5;23;7;0
Албания;25.04.2020;712;403;27;34;9;0
Албания;26.01.2020;0;0;0;0;0;0
Албания;26.02.2020;0;0;0;0;0;0
Албания;26.03.2020;174;17;6;28;0;1
Албания;26.04.2020;726;410;28;14;7;1
Албания;27.01.2020;0;0;0;0;0;0
Албания;27.02.2020;0;0;0;0;0;0
Албания;27.03.2020;186;31;8;12;14;2
Албания;27.04.2020;736;422;28;10;12;0
Албания;28.01.2020;0;0;0;0;0;0
Албания;28.02.2020;0;0;0;0;0;0
Албания;28.03.2020;197;31;10;11;0;2
Албания;28.04.2020;750;431;30;14;9;2
Албания;29.01.2020;0;0;0;0;0;0
Албания;29.02.2020;0;0;0;0;0;0
Албания;29.03.2020;212;33;10;15;2;0
Албания;29.04.2020;766;455;30;16;24;0
Албания;30.01.2020;0;0;0;0;0;0
Албания;30.03.2020;223;44;11;11;11;1
Албания;31.01.2020;0;0;0;0;0;0
Албания;31.03.2020;243;52;15;20;8;4
Алжир;01.02.2020;0;0;0;0;0;0
Алжир;01.03.2020;1;0;0;0;0;0
Алжир;01.04.2020;847;61;58;131;15;14
Алжир;02.02.2020;0;0;0;0;0;0
Алжир;02.03.2020;3;0;0;2;0;0
Алжир;02.04.2020;986;61;86;139;0;28
Алжир;03.02.2020;0;0;0;0;0;0
Алжир;03.03.2020;5;0;0;2;0;0
Алжир;03.04.2020;1171;62;105;185;1;19
Алжир;04.02.2020;0;0;0;0;0;0
Алжир;04.03.2020;12;0;0;7;0;0
Алжир;04.04.2020;1251;90;130;80;28;25
Алжир;05.02.2020;0;0;0;0;0;0
Алжир;05.03.2020;12;0;0;0;0;0
Алжир;05.04.2020;1320;90;152;69;0;22
Алжир;06.02.2020;0;0;0;0;0;0
Алжир;06.03.2020;17;0;0;5;0;0
Алжир;06.04.2020;1423;90;173;103;0;21
Алжир;07.02.2020;0;0;0;0;0;0
Алжир;07.03.2020;17;0;0;0;0;0
Алжир;07.04.2020;1468;113;193;45;23;20
